Coun- ty Code,County Name,"Agriculture, forestry and fishing",Mining and quarrying,Manufacturing,Electricity supply,Water supply; waste collection,Construction,Wholesale and retail trade; repair of motor vehicles,Transport and storage,Accom- modation and food service activities,Informa- tion and communi- cation,Financial and insurance activities,Real estate activities,"Profes- sional, technical and support services",Public admin- istration and defence,Education,Human health and social work activities,Other service activities,FISIM1,Total,
28,ELGEYO MARAKWET,"127,967",485,42,209,258,"1,485","3,487","3,579",103,544,"4,423","5,877",3,"4,949","4,068","1,245",940,(131),"159,531",
29,NANDI,"71,213",593,"4,116",489,719,"1,301","4,264","3,300",203,801,"11,955","5,013",5,"4,990","7,603","1,924","1,912",(709),"119,691",
30,BARINGO,"53,633",125,232,413,"1,048","1,336","4,687","4,737",266,911,"9,095","3,088",2,"6,017","5,077","1,276","1,411",(488),"92,866",
31,LAIKIPIA,"35,489",117,706,723,755,"5,606","7,132","5,904",512,916,"6,275","4,913",605,"6,006","3,489","1,697","1,014",(763),"81,095",
32,NAKURU,"301,349",595,"14,813","36,932","2,580","16,675","17,430","30,640","2,256","3,489","30,349","26,223",553,"14,077","14,040","7,276","4,071","(5,885)","517,462",
33,NAROK,"120,355",213,"2,109",653,642,"1,354","3,702","4,601","3,343","2,082","15,247","7,615",8,"7,882","6,971","1,164","2,160",(876),"179,226",
34,KAJIADO,"15,954","2,801","5,096","2,789",706,"9,614","6,579","7,899","1,395","2,353","17,329","23,657",171,"4,902","4,642","2,605","1,745","(2,430)","107,805",
35,KERICHO,"62,765",146,"13,721",853,682,"3,394","7,529","5,787",438,"1,067","15,580","8,118",53,"5,973","7,543","2,631","1,925","(1,406)","136,799",
36,BOMET,"114,076",620,"4,694",205,567,"7,034","4,448","2,512",187,422,"7,380","2,411",21,"3,804","7,593","2,333","1,839",(577),"159,569",
37,KAKAMEGA,"95,193","1,442","8,009",975,"1,651","2,896","8,022","7,504",877,"2,425","9,955","10,972",147,"7,993","16,676","5,420","3,829","(1,421)","182,563",
38,VIHIGA,"20,160","1,667",350,547,448,"4,167","3,598","2,292",322,342,"6,284","6,338",3,"4,608","5,909","1,206","1,279",(471),"59,050",
39,BUNGOMA,"107,829",304,"1,720",433,"1,203","4,123","6,650","10,388",394,"1,576","9,933","9,217",14,"8,742","15,730","3,067","3,761","(1,574)","183,509",
40,BUSIA,"50,020",295,158,246,679,"5,320","5,294","3,253",211,432,854,"3,756",5,"6,417","7,360","1,824","1,126",(539),"86,712",
41,SIAYA,"50,685","1,136",146,390,912,"4,541","1,994","3,858",408,991,"6,197","6,413",6,"5,299","8,353","2,341","2,000",(406),"95,265",
42,KISUMU,"51,445","1,636","23,085","4,106","2,408","12,170","26,230","19,636","1,586","1,793","8,742","20,493","1,387","10,736","8,580","3,230","2,301","(5,074)","194,489",
43,HOMA BAY,"68,247",426,532,486,764,"1,818","3,934","5,708",161,719,"4,779","4,584",4,"6,844","10,744","2,783","2,289",(624),"114,198",
44,MIGORI,"40,861","6,023","2,703",352,757,"1,028","3,652","6,648",246,822,"6,861","6,962",9,"5,693","9,813","2,446","2,178",(716),"96,337",
45,KISII,"85,550",411,"2,927","1,149",921,"4,639","7,132","9,578",349,566,"14,504","8,690",101,"10,471","12,201","3,507","2,736","(1,886)","163,546",
46,NYAMIRA,"56,634","1,376","5,352",489,523,"2,795","2,658","3,268",212,496,"11,566","4,719",7,"5,236","5,590","1,369","1,421",(473),"103,239",
47,NAIROBI,"4,102",755,"374,527","26,878","10,819","175,437","294,302","184,845","14,041","53,074","142,765","176,281","122,335","40,051","13,762","17,841","8,791","(168,283)","1,492,323",
Total GVA,,"2,838,993","58,474","647,143","140,721","55,993","452,439","619,762","600,248","58,126","109,457","606,167","575,360","137,254","330,529","320,211","126,731","91,720","(244,617)","7,524,710",
